num,before,after_train,after_eva,after_test,id,lr,delta
1,0.102,0.756,0.720,0.709,1,0.000100
2,0.098,0.950,0.886,0.883,2,0.000100
3,0.098,0.955,0.893,0.884,3,0.000100
4,0.102,0.953,0.891,0.884,4,0.000100
5,0.100,0.954,0.893,0.890,5,0.000100
6,0.101,0.952,0.892,0.888,6,0.000100
7,0.098,0.953,0.894,0.885,7,0.000100
8,0.102,0.955,0.894,0.885,8,0.000100
9,0.098,0.760,0.725,0.716,9,0.000100
10,0.100,0.951,0.890,0.881,10,0.000100
11,0.095,0.955,0.894,0.884,11,0.000100
12,0.101,0.958,0.894,0.886,12,0.000100
1,0.102,0.856,0.799,0.790,5,0.000100
2,0.098,0.955,0.892,0.883,9,0.000100
3,0.100,0.955,0.893,0.883,7,0.000100
4,0.102,0.960,0.897,0.890,13,0.000100
5,0.101,0.954,0.892,0.886,11,0.000100
6,0.101,0.953,0.895,0.883,8,0.000100
7,0.102,0.953,0.894,0.882,14,0.000100
8,0.098,0.954,0.891,0.883,15,0.000100
9,0.098,0.952,0.894,0.884,12,0.000100
10,0.098,0.854,0.798,0.788,6,0.000100
11,0.095,0.854,0.807,0.795,16,0.000100
12,0.100,0.948,0.889,0.879,17,0.000100
1,0.098,0.774,0.735,0.735,5,0.000100
2,0.095,0.953,0.890,0.880,18,0.000100
3,0.101,0.951,0.889,0.882,17,0.000100
4,0.101,0.953,0.894,0.885,16,0.000100
5,0.101,0.952,0.888,0.883,8,0.000100
6,0.095,0.946,0.889,0.883,12,0.000100
7,0.102,0.860,0.810,0.796,19,0.000100
8,0.101,0.859,0.811,0.808,20,0.000100
9,0.102,0.954,0.892,0.885,21,0.000100
10,0.101,0.952,0.894,0.884,13,0.000100
11,0.102,0.867,0.820,0.817,7,0.000100
12,0.100,0.954,0.882,0.874,22,0.000100
13,0.098,0.961,0.881,0.873,23,0.000100
1,0.100,0.966,0.888,0.871,17,0.000100
2,0.101,0.769,0.723,0.721,24,0.000100
3,0.098,0.950,0.883,0.878,18,0.000100
4,0.098,0.854,0.789,0.788,5,0.000100
5,0.101,0.860,0.798,0.791,16,0.000100
6,0.102,0.862,0.798,0.791,21,0.000100
7,0.102,0.961,0.885,0.875,25,0.000100
8,0.101,0.961,0.880,0.876,26,0.000100
9,0.102,0.958,0.887,0.879,27,0.000100
10,0.098,0.962,0.882,0.879,13,0.000100
11,0.101,0.961,0.880,0.876,22,0.000100
12,0.101,0.957,0.880,0.875,28,0.000100
13,0.098,0.952,0.885,0.877,29,0.000100
1,0.102,0.856,0.807,0.800,13,0.000100
2,0.100,0.966,0.885,0.877,30,0.000100
3,0.101,0.760,0.711,0.701,29,0.000100
4,0.095,0.959,0.882,0.874,22,0.000100
5,0.095,0.965,0.884,0.875,31,0.000100
6,0.095,0.861,0.811,0.801,32,0.000100
7,0.102,0.870,0.815,0.808,27,0.000100
8,0.100,0.870,0.808,0.800,25,0.000100
9,0.095,0.862,0.795,0.788,33,0.000100
10,0.098,0.960,0.886,0.876,34,0.000100
11,0.102,0.964,0.889,0.881,17,0.000100
12,0.101,0.961,0.885,0.875,24,0.000100
1,0.101,0.868,0.808,0.803,22,0.000100
2,0.100,0.865,0.802,0.796,32,0.000100
3,0.102,0.963,0.885,0.874,35,0.000100
4,0.101,0.958,0.885,0.878,31,0.000100
5,0.102,0.957,0.886,0.875,27,0.000100
6,0.102,0.958,0.887,0.876,30,0.000100
7,0.098,0.770,0.732,0.725,13,0.000100
8,0.095,1.000,0.917,0.905,36,0.000010
9,0.102,1.000,0.916,0.906,17,0.000010
10,0.102,1.000,0.913,0.905,34,0.000010
11,0.101,1.000,0.910,0.909,37,0.000010
12,0.098,1.000,0.912,0.910,38,0.000010
1,0.095,1.000,0.916,0.907,35,0.000010
2,0.102,1.000,0.911,0.903,22,0.000010
3,0.098,1.000,0.913,0.907,39,0.000010
4,0.102,1.000,0.916,0.907,40,0.000010
5,0.100,1.000,0.911,0.907,17,0.000010
6,0.101,1.000,0.918,0.904,34,0.000010
7,0.102,1.000,0.910,0.905,41,0.000010
8,0.101,1.000,0.909,0.908,42,0.000010
9,0.100,1.000,0.914,0.910,43,0.000010
10,0.102,1.000,0.916,0.908,36,0.000010
11,0.102,1.000,0.913,0.909,30,0.000010
12,0.102,1.000,0.916,0.911,44,0.000010
13,0.098,1.000,0.910,0.905,45,0.000010
1,0.098,1.000,0.917,0.909,36,0.000010
2,0.101,1.000,0.916,0.907,44,0.000010
3,0.102,1.000,0.914,0.905,46,0.000010
4,0.098,1.000,0.914,0.909,47,0.000010
5,0.098,1.000,0.915,0.909,40,0.000010
6,0.102,1.000,0.916,0.906,35,0.000010
7,0.101,1.000,0.919,0.911,48,0.000010
8,0.098,1.000,0.914,0.910,49,0.000010
9,0.100,1.000,0.914,0.909,34,0.000010
10,0.101,1.000,0.917,0.906,43,0.000010
11,0.100,1.000,0.913,0.903,50,0.000010
1,0.102,1.000,0.916,0.907,43,0.000010
2,0.098,1.000,0.918,0.910,49,0.000010
3,0.098,1.000,0.918,0.910,51,0.000010
4,0.098,1.000,0.915,0.910,36,0.000010
5,0.102,1.000,0.914,0.907,44,0.000010
6,0.095,1.000,0.915,0.908,52,0.000010
7,0.102,1.000,0.915,0.903,53,0.000010
8,0.101,1.000,0.915,0.913,54,0.000010
9,0.101,1.000,0.914,0.907,48,0.000010
10,0.098,1.000,0.916,0.907,35,0.000010
11,0.102,1.000,0.914,0.906,55,0.000010
12,0.102,1.000,0.914,0.904,56,0.000010
1,0.102,1.000,0.916,0.904,36,0.000010
2,0.100,1.000,0.913,0.906,54,0.000010
3,0.098,1.000,0.916,0.903,57,0.000010
4,0.095,1.000,0.914,0.906,58,0.000010
5,0.101,1.000,0.914,0.910,35,0.000010
6,0.102,1.000,0.918,0.908,55,0.000010
7,0.101,1.000,0.916,0.912,59,0.000010
8,0.095,1.000,0.918,0.908,49,0.000010
9,0.100,1.000,0.914,0.908,51,0.000010
10,0.100,1.000,0.916,0.907,60,0.000010
11,0.098,1.000,0.918,0.908,61,0.000010
12,0.102,1.000,0.913,0.907,62,0.000010
13,0.098,1.000,0.913,0.903,63,0.000010
1,0.100,1.000,0.914,0.904,36,0.000010
2,0.101,1.000,0.910,0.907,57,0.000010
3,0.098,1.000,0.910,0.910,64,0.000010
4,0.095,1.000,0.914,0.908,49,0.000010
5,0.101,1.000,0.917,0.908,61,0.000010
6,0.102,1.000,0.915,0.908,65,0.000010
7,0.098,1.000,0.913,0.907,66,0.000010
8,0.100,1.000,0.914,0.908,67,0.000010
9,0.100,1.000,0.911,0.904,55,0.000010
10,0.101,1.000,0.914,0.907,59,0.000010
